Ile wynosi 3 + 4 ?
 A) 8
 B) 4
 C) 34
 D) 7
D
Jakie miasto jest stolicą Polski ?
 A) Krakow
 B) Warszawa
 C) Gniezno
 D) Zakopane
B
Jaką planetę zamieszkują ludzie ?
 A) Mars
 B) Wenus
 C) Ziemia
 D) Uran
C
Skąd pochodził Conan Barbarzyńca ?
 A) z Rivii
 B) z Oz
 C) z Mordoru
 D) z Cimmerii
D
Co pływa po kanale Weneckim ?
 A) ponton
 B) gondola
 C) galera
 D) zaglowka
B
Jak nazywa się tradycyjny napój Anglików pity po południu ?
 A) herbata
 B) kawa
 C) piwo
 D) mleko
A
Jak nazywa się rybi tłuszcz ?
 A) olej
 B) smalec
 C) masło
 D) tran
D
Kto rozśmiesza ludzi w cyrku ?
 A) komik
 B) klaun
 C) styryk
 D) pajac
B
Jak nazywa się ptak w godle Polski ?
 A) myszołów
 B) orzeł
 C) jastrząb
 D) sokół
B
Jak nazywa się państwo produkujące samochody Alfa Romeo ?
 A) Francja
 B) Hiszpania
 C) Włochy
 D) Luksemburg
C
